data,parcial,total
1987-07-12,1,1
2011-07-04,1,1
2020-03-23,312872,27988
2021-01-01,47,1
2021-01-03,3,3
2021-01-04,37,10
2021-01-06,4,4
2021-01-07,1,3
2021-01-10,4,1
2021-01-11,13,1
2021-01-12,37,14
2021-01-14,10,5
2021-01-15,14,1
2021-01-17,454,125
2021-01-18,2151,126
2021-01-19,59323,281
2021-01-20,340160,752
2021-01-21,380089,781
2021-01-22,339653,1238
2021-01-23,83439,292
2021-01-24,33735,236
2021-01-25,220164,422
2021-01-26,254356,609
2021-01-27,298649,513
2021-01-28,330513,659
2021-01-29,293191,453
2021-01-30,75730,136
2021-01-31,34603,55
2021-02-01,235105,854
2021-02-02,264506,3245
2021-02-03,279588,10026
2021-02-04,296003,22835
2021-02-05,274229,24502
2021-02-06,88440,3303
2021-02-07,27263,956
2021-02-08,237146,34615
2021-02-09,245624,45307
2021-02-10,263919,86708
2021-02-11,294355,145894
2021-02-12,317344,172782
2021-02-13,95655,35033
2021-02-14,20189,18829
2021-02-15,168471,140758
2021-02-16,126304,173539
2021-02-17,130348,221263
2021-02-18,141363,266285
2021-02-19,113377,199306
2021-02-20,24165,31904
2021-02-21,6256,8793
2021-02-22,77722,151388
2021-02-23,80388,128715
2021-02-24,67812,113939
2021-02-25,91536,104323
2021-02-26,180033,114172
2021-02-27,199883,32420
2021-02-28,47579,10399
2021-03-01,375285,120632
2021-03-02,351885,162367
2021-03-03,442756,159646
2021-03-04,354015,155970
2021-03-05,334201,170721
2021-03-06,162561,67207
2021-03-07,36479,13161
2021-03-08,284202,150480
2021-03-09,233864,165367
2021-03-10,259599,177355
2021-03-11,266385,179925
2021-03-12,306081,151787
2021-03-13,159250,35979
2021-03-14,32645,6505
2021-03-15,401343,109120
2021-03-16,318663,97599
2021-03-17,271310,81598
2021-03-18,348258,77504
2021-03-19,638558,70151
2021-03-20,348052,20885
2021-03-21,74224,5698
2021-03-22,569931,74462
2021-03-23,716384,94600
2021-03-24,855408,137662
2021-03-25,891137,144785
2021-03-26,937068,127491
2021-03-27,705468,45891
2021-03-28,207885,14745
2021-03-29,875402,149095
2021-03-30,1006964,159545
2021-03-31,855216,185959
2021-04-01,595464,144995
2021-04-02,228559,26168
2021-04-03,375616,55077
2021-04-04,65338,17403
2021-04-05,662522,357905
2021-04-06,581681,274898
2021-04-07,519161,271772
2021-04-08,393352,295800
2021-04-09,409093,478451
2021-04-10,425246,190866
2021-04-11,71056,38664
2021-04-12,526293,421113
2021-04-13,445279,402365
2021-04-14,416360,410722
2021-04-15,345852,516608
2021-04-16,324239,682138
2021-04-17,372219,282151
2021-04-18,100495,45719
2021-04-19,503585,678998
2021-04-20,651389,783147
2021-04-21,516239,268129
2021-04-22,588328,815889
2021-04-23,549974,660169
2021-04-24,315507,315342
2021-04-25,55791,83679
2021-04-26,454699,677767
2021-04-27,442058,629769
2021-04-28,459189,548758
2021-04-29,487099,444255
2021-04-30,403825,329801
2021-05-01,220393,111305
2021-05-02,90170,24362
2021-05-03,485560,375795
2021-05-04,605494,329552
2021-05-05,768846,297600
2021-05-06,968921,198351
2021-05-07,741739,185131
2021-05-08,360368,119190
2021-05-09,22269,12763
2021-05-10,521977,239443
2021-05-11,565524,255431
2021-05-12,644812,180236
2021-05-13,601291,159103
2021-05-14,685136,212518
2021-05-15,337240,203674
2021-05-16,63660,85448
2021-05-17,537654,235462
2021-05-18,656035,260349
2021-05-19,642545,254815
2021-05-20,666029,318438
2021-05-21,655260,293318
2021-05-22,275472,152720
2021-05-23,44305,21219
2021-05-24,512089,268730
2021-05-25,614104,227443
2021-05-26,594314,214705
2021-05-27,660385,191955
2021-05-28,784300,151645
2021-05-29,377437,55417
2021-05-30,60004,5893
2021-05-31,623516,123957
2021-06-01,803724,197540
2021-06-02,1002242,190407
2021-06-03,446807,56108
2021-06-04,670988,89608
2021-06-05,423558,40800
2021-06-06,82101,4297
2021-06-07,923536,124831
2021-06-08,1056429,101391
2021-06-09,1089497,81093
2021-06-10,1095619,73486
2021-06-11,1191903,65672
2021-06-12,815935,17500
2021-06-13,185864,3693
2021-06-14,1126828,72493
2021-06-15,1303778,81736
2021-06-16,1491680,105006
2021-06-17,1378527,89027
2021-06-18,1310915,77545
2021-06-19,1024349,95092
2021-06-20,215591,19974
2021-06-21,1091386,131548
2021-06-22,1120387,165224
2021-06-23,1119872,131213
2021-06-24,922502,94903
2021-06-25,979502,172851
2021-06-26,787101,195076
2021-06-27,131140,39995
2021-06-28,971805,421259
2021-06-29,1113112,340910
2021-06-30,1084040,344552
2021-07-01,995895,258599
2021-07-02,1105887,279192
2021-07-03,710772,173848
2021-07-04,134891,65747
2021-07-05,1089812,364374
2021-07-06,1162793,580197
2021-07-07,1036070,842068
2021-07-08,1003510,646440
2021-07-09,882364,561900
2021-07-10,599231,322347
2021-07-11,78381,63732
2021-07-12,877675,621919
2021-07-13,769447,629064
2021-07-14,751947,616893
2021-07-15,725937,611501
2021-07-16,877082,620573
2021-07-17,817954,328508
2021-07-18,117712,35045
2021-07-19,1039269,617550
2021-07-20,1044666,612841
2021-07-21,1043532,701116
2021-07-22,1188631,701317
2021-07-23,1280723,593082
2021-07-24,582750,265206
2021-07-25,86103,52488
2021-07-26,783413,641565
2021-07-27,778448,769109
2021-07-28,648488,743683
2021-07-29,833114,779465
2021-07-30,945386,631308
2021-07-31,432154,255978
2021-08-01,96185,45616
2021-08-02,884139,568789
2021-08-03,1154963,590446
2021-08-04,1090030,652097
2021-08-05,1096075,609581
2021-08-06,1060742,668702
2021-08-07,624914,276423
2021-08-08,55470,19946
2021-08-09,968241,671848
2021-08-10,1439694,688628
2021-08-11,1244435,645368
2021-08-12,1328267,676885
2021-08-13,1294569,687447
2021-08-14,1064933,355047
2021-08-15,312139,68484
2021-08-16,1030176,785923
2021-08-17,1094443,835284
2021-08-18,1051187,847208
2021-08-19,928672,801751
2021-08-20,705876,700899
2021-08-21,620699,284317
2021-08-22,98164,40435
2021-08-23,654681,637046
2021-08-24,615380,617825
2021-08-25,428860,570039
2021-08-26,281,58
